epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1798.62,2.0139,1.45939,1.53576,0.6287,0.56589,0.58431,0.25125,1.98699,1.35779,1.53396,0.00828443,0.00828443,0.00828443
43,1841.01,1.99319,1.4352,1.53795,0.74637,0.66436,0.73739,0.3567,1.92086,1.2607,1.49901,0.00820525,0.00820525,0.00820525
44,1883.39,1.97365,1.3954,1.52589,0.80103,0.68613,0.73668,0.3632,1.92428,1.29168,1.50861,0.00812468,0.00812468,0.00812468
45,1925.83,1.95931,1.37687,1.51521,0.73349,0.63237,0.68054,0.31159,1.96229,1.2627,1.50812,0.00804277,0.00804277,0.00804277
46,1968.15,1.95104,1.39363,1.5198,0.82161,0.66023,0.72686,0.35495,1.9486,1.25945,1.54182,0.00795954,0.00795954,0.00795954
47,2010.36,1.97802,1.38249,1.52335,0.75842,0.70969,0.74442,0.34399,1.93589,1.21444,1.50874,0.00787503,0.00787503,0.00787503
48,2052.66,1.93457,1.36968,1.50432,0.7469,0.65717,0.70609,0.33924,1.92976,1.24223,1.49707,0.00778929,0.00778929,0.00778929
49,2095.31,1.92659,1.37145,1.49931,0.81478,0.59906,0.72387,0.36087,1.94163,1.28309,1.51253,0.00770234,0.00770234,0.00770234
50,2137.47,1.94726,1.38667,1.51482,0.71231,0.70282,0.72313,0.34169,1.9515,1.25857,1.51075,0.00761423,0.00761423,0.00761423
51,2180.05,1.94466,1.34244,1.50356,0.81262,0.6692,0.77784,0.38589,1.91561,1.17349,1.49171,0.007525,0.007525,0.007525
52,2221.88,1.93197,1.3179,1.48847,0.67201,0.71898,0.73575,0.35171,1.89329,1.23662,1.49944,0.00743468,0.00743468,0.00743468
53,2264.27,1.9048,1.31952,1.47492,0.78035,0.72653,0.7687,0.36523,1.90112,1.19944,1.49048,0.00734332,0.00734332,0.00734332
54,2306.24,1.88373,1.28865,1.45597,0.81849,0.64201,0.74852,0.37873,1.94386,1.22437,1.49953,0.00725094,0.00725094,0.00725094
55,2348.62,1.87261,1.29347,1.44703,0.76772,0.69277,0.74255,0.37202,1.91445,1.20746,1.48065,0.00715761,0.00715761,0.00715761
56,2391.06,1.90011,1.32193,1.4578,0.76797,0.66957,0.75347,0.37617,1.87811,1.17839,1.45469,0.00706335,0.00706335,0.00706335
57,2433.22,1.88302,1.26782,1.46176,0.75962,0.66052,0.71152,0.36081,1.91055,1.21297,1.46978,0.0069682,0.0069682,0.0069682
58,2476,1.87919,1.27246,1.45646,0.79076,0.73435,0.7787,0.37888,1.90629,1.14955,1.5066,0.00687222,0.00687222,0.00687222
59,2518.42,1.87529,1.26494,1.44987,0.82058,0.69561,0.78793,0.3921,1.88223,1.17627,1.46801,0.00677543,0.00677543,0.00677543
60,2560.72,1.86389,1.25958,1.44844,0.78232,0.70238,0.77525,0.38707,1.91666,1.14808,1.48903,0.00667789,0.00667789,0.00667789
61,2602.81,1.85067,1.25002,1.44594,0.82859,0.73866,0.79033,0.411,1.84711,1.10421,1.4481,0.00657963,0.00657963,0.00657963
62,2645.14,1.85264,1.23997,1.44208,0.79792,0.71854,0.76599,0.39674,1.88805,1.12565,1.46249,0.00648071,0.00648071,0.00648071
63,2687.71,1.85487,1.25146,1.44353,0.84093,0.69503,0.76853,0.40542,1.80875,1.11323,1.44423,0.00638115,0.00638115,0.00638115
64,2729.93,1.81682,1.22603,1.42131,0.79534,0.73574,0.78342,0.41696,1.78804,1.10853,1.42343,0.00628101,0.00628101,0.00628101
65,2771.93,1.80196,1.19087,1.42107,0.82959,0.71758,0.78842,0.42437,1.8045,1.09892,1.44568,0.00618034,0.00618034,0.00618034
66,2815.98,1.82011,1.19737,1.42325,0.81968,0.67689,0.76911,0.37981,1.79569,1.0927,1.42235,0.00607916,0.00607916,0.00607916
67,2861.42,1.80112,1.20937,1.41046,0.77844,0.7102,0.7669,0.40497,1.80593,1.10458,1.43642,0.00597754,0.00597754,0.00597754
68,2905.86,1.7937,1.17092,1.41178,0.81409,0.68131,0.77405,0.42892,1.75118,1.06504,1.41129,0.00587551,0.00587551,0.00587551
69,2950.03,1.80516,1.20054,1.40249,0.819,0.72626,0.8041,0.42835,1.79121,1.07885,1.41679,0.00577311,0.00577311,0.00577311
70,2994.23,1.77103,1.15572,1.40193,0.79295,0.74554,0.78305,0.42025,1.82037,1.05651,1.42877,0.0056704,0.0056704,0.0056704
71,3038.53,1.80882,1.17,1.4151,0.81274,0.7612,0.81901,0.45287,1.76071,1.01594,1.41225,0.00556742,0.00556742,0.00556742
72,3082.46,1.79101,1.16863,1.38415,0.74111,0.74542,0.79109,0.41078,1.77139,1.06046,1.40973,0.00546421,0.00546421,0.00546421
73,3126.6,1.76872,1.15633,1.39885,0.81762,0.75602,0.81594,0.431,1.79179,1.03815,1.42058,0.00536081,0.00536081,0.00536081
74,3170.51,1.79538,1.16257,1.38374,0.81512,0.78078,0.81574,0.45392,1.72504,1.02814,1.38819,0.00525728,0.00525728,0.00525728
75,3215.14,1.73449,1.14648,1.38204,0.84084,0.74111,0.82751,0.44601,1.72936,1.02696,1.38443,0.00515366,0.00515366,0.00515366
76,3258.85,1.74405,1.12302,1.36987,0.88163,0.73334,0.82688,0.44951,1.73541,1.03,1.37871,0.00505,0.00505,0.00505
77,3302.91,1.72122,1.11422,1.35493,0.80258,0.73433,0.81538,0.45627,1.7156,1.04754,1.36519,0.00494634,0.00494634,0.00494634
78,3347.14,1.71193,1.11226,1.35624,0.83633,0.7369,0.8213,0.45301,1.7167,0.99822,1.37268,0.00484272,0.00484272,0.00484272
79,3391.14,1.67228,1.08262,1.32921,0.89805,0.74914,0.82734,0.46184,1.71661,0.99254,1.37609,0.00473919,0.00473919,0.00473919
80,3433.68,1.7086,1.09183,1.35077,0.82415,0.77565,0.82367,0.45533,1.69957,0.97715,1.35878,0.00463579,0.00463579,0.00463579
81,3476.38,1.73109,1.10286,1.34292,0.86578,0.73601,0.83178,0.4504,1.70729,0.98159,1.35647,0.00453258,0.00453258,0.00453258
82,3519,1.69066,1.05661,1.35257,0.8166,0.78159,0.82155,0.45847,1.69882,0.96146,1.36824,0.0044296,0.0044296,0.0044296
83,3561.68,1.6989,1.06923,1.35165,0.83382,0.76503,0.82366,0.46496,1.69271,0.99557,1.37227,0.00432689,0.00432689,0.00432689
84,3604.1,1.71294,1.0819,1.34815,0.86121,0.77368,0.83236,0.46033,1.67859,0.98517,1.34432,0.00422449,0.00422449,0.00422449
85,3646.49,1.64518,1.03019,1.31454,0.83859,0.75887,0.8326,0.4895,1.65143,0.96076,1.34348,0.00412246,0.00412246,0.00412246
86,3689.03,1.64385,1.03258,1.30832,0.87551,0.72399,0.84821,0.47977,1.66536,0.9405,1.33712,0.00402084,0.00402084,0.00402084
87,3731.43,1.64365,1.01337,1.30041,0.84079,0.78125,0.82919,0.4979,1.63878,0.94552,1.31755,0.00391966,0.00391966,0.00391966
88,3774.13,1.63169,1.02121,1.31026,0.86087,0.79822,0.85088,0.49326,1.63501,0.9079,1.32214,0.00381899,0.00381899,0.00381899
89,3816.46,1.63311,1.04055,1.31201,0.85572,0.78112,0.84626,0.50273,1.62289,0.93228,1.32008,0.00371885,0.00371885,0.00371885
90,3858.98,1.63028,1.01001,1.29144,0.85065,0.79022,0.84673,0.50387,1.60025,0.92921,1.30139,0.00361929,0.00361929,0.00361929
91,3901.02,1.58521,0.99636,1.28224,0.85775,0.80884,0.85217,0.52196,1.5699,0.88983,1.29439,0.00352037,0.00352037,0.00352037
92,3943.17,1.60805,1.00111,1.28992,0.86688,0.80813,0.85257,0.50134,1.62258,0.9272,1.30493,0.00342211,0.00342211,0.00342211
93,3985.14,1.6176,0.99643,1.29551,0.86642,0.80453,0.86558,0.51136,1.60284,0.89569,1.30742,0.00332457,0.00332457,0.00332457
94,4027.35,1.61194,0.98202,1.29457,0.88243,0.78601,0.87068,0.52349,1.60638,0.88238,1.29861,0.00322778,0.00322778,0.00322778
