epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,391.527,1.82946,1.2222,1.42482,0.64463,0.64366,0.63214,0.29976,2.19706,1.41795,1.73745,0.00121591,0.00121591,0.00121591
43,401.291,1.84053,1.20838,1.40936,0.80851,0.46563,0.55399,0.24716,2.27181,1.44604,1.77328,0.00120491,0.00120491,0.00120491
44,411.098,1.84731,1.19399,1.42213,0.80755,0.54795,0.62857,0.30553,2.13401,1.3732,1.71553,0.00119391,0.00119391,0.00119391
45,420.875,1.81363,1.1896,1.38706,0.79954,0.48614,0.55502,0.26573,2.24675,1.43969,1.765,0.0011829,0.0011829,0.0011829
46,430.579,1.83833,1.21464,1.42752,0.7974,0.58143,0.6326,0.30973,2.15921,1.34868,1.73552,0.0011719,0.0011719,0.0011719
47,440.502,1.80758,1.13676,1.38246,0.72037,0.50339,0.56735,0.25677,2.26157,1.4409,1.80322,0.0011609,0.0011609,0.0011609
48,450.299,1.80138,1.15251,1.39417,0.79757,0.49455,0.61097,0.26967,2.22087,1.34537,1.75751,0.0011499,0.0011499,0.0011499
49,460.202,1.75318,1.1217,1.36966,0.79571,0.52554,0.61725,0.28298,2.26419,1.45846,1.80121,0.00113889,0.00113889,0.00113889
50,469.933,1.79338,1.14862,1.40164,0.82052,0.55232,0.63814,0.30403,2.18706,1.36401,1.7531,0.00112789,0.00112789,0.00112789
51,479.765,1.73967,1.10333,1.37649,0.77853,0.54275,0.61259,0.2756,2.31613,1.4969,1.84538,0.00111689,0.00111689,0.00111689
52,489.518,1.77852,1.13314,1.39479,0.75573,0.49893,0.61164,0.28074,2.23516,1.37062,1.78902,0.00110589,0.00110589,0.00110589
53,499.301,1.77763,1.12141,1.38772,0.89084,0.48335,0.6157,0.2694,2.21454,1.35923,1.75849,0.00109489,0.00109489,0.00109489
54,509.106,1.78964,1.09234,1.39282,0.6361,0.55223,0.57005,0.26493,2.31964,1.47388,1.85717,0.00108388,0.00108388,0.00108388
55,518.931,1.75697,1.10079,1.35335,0.78805,0.55,0.6256,0.28525,2.21215,1.39294,1.7682,0.00107288,0.00107288,0.00107288
